,Odds Ratios,CI Lower,CI Upper,P Value
"C(Group, Treatment(reference='HighHealthcareAccess_Comorbidity+'))[T.LowHealthcareAccess_Comorbidity-]",0.7130872555428854,0.5803368342225638,0.8762039629948304,0.0012936669464914466
C(acs_type)[T.acute_cholecystitis],0.5943927539443004,0.4060935234290822,0.8700033996065152,0.00744120607636457
C(acs_type)[T.perforated_diverticulitis],0.7100879116198257,0.5661081158828701,0.890686475042395,0.003064116277670525
CM_AIDS,2.0681492510889115,0.542051170674983,7.890844178887098,0.287508790811835
CM_ALCOHOL,0.7799220871133405,0.5289080003774033,1.1500647778691018,0.20970803598382282
CM_ANEMDEF,1.0937236337732352,0.8579410606800282,1.3943048560071984,0.4695806429142675
CM_ARTH,1.3981936941549455,0.82650705554532,2.365310245397485,0.21145034040006971
CM_BLDLOSS,0.5496480368126638,0.24401237587919616,1.238105089069676,0.14860733487690617
CM_CHF,1.0034611363794448,0.6431969442770363,1.5655146704027596,0.9878517314716213
CM_COAG,1.0086683097465017,0.6618181917233127,1.537297964623214,0.967978574256988
CM_DEPRESS,1.0859921072399368,0.8127412332972722,1.45111236968097,0.5769470309637106
CM_DM,0.9981251046902885,0.7721449494048584,1.2902418456286942,0.9885680273000296
CM_DMCX,0.9435690189363727,0.5297950449963281,1.6805036247606264,0.8436354404254764
CM_DRUG,0.8612630008457662,0.5551558193082816,1.3361545188341846,0.5050378327358985
CM_HTN_C,1.011162076881732,0.8238272786743275,1.241096006639965,0.9154381427214491
CM_HYPOTHY,0.745848224641575,0.500715193930085,1.1109900017906469,0.14922343065667007
CM_LIVER,1.0348847333423579,0.7131503743950856,1.5017679997904012,0.8567652304574539
CM_LYMPH,2.0377371423557413,0.7396111828950087,5.614264301795435,0.16862465066444687
CM_LYTES,2.15902470493799,1.7942309967647208,2.5979863712854065,3.623574169266318e-16
CM_METS,2.4115312364987602,1.4918101224519111,3.8982728546251058,0.0003277678002984358
CM_NEURO,1.1104190213705314,0.7076921935165436,1.7423258505855828,0.6486116417722094
CM_OBESE,1.7850325111355632,1.4547889865488774,2.1902427742250996,2.8344611971488238e-08
CM_PARA,2.0763372581923183,1.006764840484929,4.28220795601188,0.04790399663782791
CM_PERIVASC,0.8524240010646356,0.5007830838750446,1.4509808757285216,0.5562973930492815
CM_PSYCH,1.3135467170719926,0.8628128716848494,1.9997441328863597,0.20342726030896563
CM_PULMCIRC,2.4130989038382125,1.3938956022334965,4.177534035098952,0.0016551885147332685
CM_RENLFAIL,0.855323986470521,0.5545383292484241,1.319257990377954,0.4796829549195022
CM_TUMOR,2.16131417073795,1.2454008390847566,3.75082366900089,0.006139620325138028
CM_ULCER,2.4523214092730674,0.2687427223033964,22.377834989666013,0.4265127586340083
CM_VALVE,0.814538226346323,0.4216133095561313,1.5736517494618671,0.541509702384075
CM_WGHTLOSS,2.9172795800223095,2.1840494489952214,3.896670083147812,4.191711207082516e-13
AGE,1.0014916735054633,0.9953335009530053,1.0076879469448599,0.6357515124210118
