,Odds Ratios,CI Lower,CI Upper,P Value
"C(Group, Treatment(reference='HighHealthcareAccess_Comorbidity+'))[T.LowHealthcareAccess_Comorbidity-]",1.063167263414422,0.9660226570442184,1.1700808689670021,0.21024530390797558
CM_AIDS,1.7730321963546496,1.1835828342082184,2.656039846516696,0.005480335723254421
CM_ALCOHOL,0.9312630717688054,0.7883554490616939,1.1000759998202325,0.4021280568994886
CM_ANEMDEF,1.3795012683364847,1.2538019557562556,1.5178025050966866,4.114634687894283e-11
CM_ARTH,1.0189434355318612,0.7733387257980899,1.3425497652946277,0.893908996227183
CM_BLDLOSS,0.2389332687794094,0.180143622986273,0.3169088418631599,2.943568156582619e-23
CM_CHF,1.3007619067615463,1.0891384451514987,1.553504557307753,0.00370226049901679
CM_CHRNLUNG,1.0916582800628527,0.9933605940867384,1.1996829827192916,0.06851640808231459
CM_COAG,1.0040644581251046,0.8479319312068597,1.1889461865590654,0.9624824684347938
CM_DEPRESS,1.2574960116027862,1.1202339327490565,1.4115767903195098,0.00010224122358779933
CM_DRUG,0.9575768374763726,0.8116955290956867,1.129676543485256,0.6072146262089133
CM_HTN_C,1.0444464644045561,0.9617810007518487,1.1342170578899133,0.30128356959655245
CM_HYPOTHY,1.0912557269241596,0.9433743847681769,1.2623186306223595,0.23983812856261466
CM_LIVER,1.1629185983076762,0.9645979848791247,1.4020137793045042,0.11361806784181865
CM_LYMPH,1.1290446186014478,0.6675791281158954,1.9094991097019234,0.6507586408669346
CM_LYTES,1.6385711581606068,1.496392111110439,1.7942592856650232,1.512161267696815e-26
CM_METS,1.597750685266924,1.3428084513409713,1.9010956102648977,1.268050287501262e-07
CM_NEURO,1.1114650328979159,0.94111966993821,1.3126433957499508,0.21312317305383643
CM_OBESE,1.3597327860470831,1.2355160350602106,1.4964380849668713,3.2404013290838173e-10
CM_PARA,1.442795552776521,1.1905509260121339,1.7484837999197782,0.0001848363144817562
CM_PERIVASC,1.0164296276652527,0.8579362777416836,1.2042027068900674,0.8505540955701405
CM_PSYCH,1.9617402183307664,1.7005750597788467,2.263013715323401,2.3686336745862042e-20
CM_PULMCIRC,1.318047988474101,1.024287013939876,1.6960583081477956,0.03183411661177998
CM_RENLFAIL,0.8154762955093706,0.6961270540251804,0.9552876657967554,0.011519415999737182
CM_TUMOR,3.9088260632602423,3.2877541408019972,4.647221336658555,8.595196007480738e-54
CM_ULCER,2.507693736298891,0.7391317573668418,8.507993077547612,0.14021330491508688
CM_VALVE,1.1543382403244102,0.8795417834762218,1.5149897345511156,0.3008219644859299
CM_WGHTLOSS,1.7790297682519427,1.548687600536104,2.0436315982842257,3.864726638603888e-16
AGE,1.0205552838208505,1.0184514354546883,1.022663478175239,3.308756554069774e-83
