,Odds Ratios,CI Lower,CI Upper,P Value
"C(Group, Treatment(reference='HighHealthcareAccess_Comorbidity+'))[T.LowHealthcareAccess_Comorbidity-]",0.5178644322108517,0.46124327669718196,0.5814362695310075,8.120443584791995e-29
CM_AIDS,1.4588343036805274,0.719675953361069,2.957160810578466,0.2948682255235787
CM_ALCOHOL,1.2995900643393425,1.0535729441197288,1.603054012307291,0.01439084178640061
CM_ANEMDEF,1.344581384158446,1.1853514790044617,1.525200862906788,4.14330553679501e-06
CM_ARTH,1.0996295108490224,0.7799478728822928,1.5503408665780747,0.5878857715366892
CM_BLDLOSS,0.3093311688125453,0.21655255713683408,0.4418593493609681,1.1231878229721345e-10
CM_CHF,0.9850986274722022,0.7678374523390115,1.263834295776396,0.9059893394423535
CM_CHRNLUNG,1.0934406736890219,0.9603055472436066,1.24503342744328,0.17749186711828546
CM_COAG,0.9177832275909575,0.7400760426744732,1.138161491896553,0.43459596693794567
CM_DEPRESS,1.0575346877911023,0.8969931712878703,1.2468095094589133,0.5054653588540003
CM_DM,1.0619307877255701,0.9241211065038308,1.2202913557356083,0.3968426647892196
CM_DMCX,1.163840638505738,0.9088883375117282,1.4903096188314393,0.22909458583841347
CM_DRUG,1.0024127833820848,0.7891747270661824,1.2732685853022134,0.9842444088195668
CM_HTN_C,0.9582600410500043,0.8563394466878652,1.0723111142722603,0.457411004206865
CM_HYPOTHY,0.9145947578028708,0.7475951202311925,1.11889918535291,0.38547996915309346
CM_LIVER,1.0986429004408487,0.8403352975336831,1.4363507355118563,0.4914989953386616
CM_LYMPH,0.7631881032069673,0.35727123480184075,1.6302910062146645,0.4852651500351127
CM_METS,1.6101997400155574,1.3052492477441802,1.9863970097873054,8.720508564322551e-06
CM_NEURO,1.1837057343316613,0.9529553170210489,1.4703304976246947,0.127407450893017
CM_OBESE,1.3553791149423446,1.1843410688553575,1.5511178270608892,9.95376024212152e-06
CM_PARA,1.7700232307720756,1.3883497940810063,2.256623115319896,4.069741767602966e-06
CM_PERIVASC,1.2374799674926449,1.0010896831967582,1.5296897926822592,0.04883455230262541
CM_PSYCH,2.241828490697543,1.8569364886147732,2.7064980480039664,4.4632807246677723e-17
CM_PULMCIRC,1.5933292898111433,1.194620417842844,2.1251086854469423,0.0015234710824447205
CM_RENLFAIL,0.8575561674806239,0.6944534597219036,1.0589659682573265,0.15338485317535985
CM_TUMOR,1.810235810393276,1.3541485620564173,2.419936616299914,6.150771075385184e-05
CM_ULCER,5.048276401950052,1.4352454459433133,17.75661069158504,0.011634032425603208
CM_VALVE,1.0251173156593558,0.7268949589373443,1.445691014835094,0.887530051792287
CM_WGHTLOSS,3.10526038472899,2.662340997735094,3.621865893651647,3.2968511301923904e-47
AGE,1.021701294146451,1.0187852265300879,1.0246257084193238,4.651102483349762e-49
