,Odds Ratios,CI Lower,CI Upper,P Value
C(acs_type)[T.acute_cholecystitis],1.0108774681173878,0.9054553359884749,1.12857389528977,0.8473282588252882
C(acs_type)[T.perforated_diverticulitis],1.0818730435504877,1.0120693710016027,1.1564911614732998,0.02074938554214316
CM_DM,0.9440313659259598,0.8893447445971229,1.002080717591409,0.05853158767742997
CM_AIDS,1.0117670406451038,0.5485090799046234,1.8662818575651487,0.9701267470874438
CM_ALCOHOL,0.817120300068906,0.7220530051820484,0.9247043914959652,0.0013723122261881581
CM_ANEMDEF,1.095352934413085,1.0337357521333574,1.1606428900725256,0.002048170073359741
CM_ARTH,1.1389002681675442,1.010657567493973,1.2834157310555527,0.0328515236629595
CM_BLDLOSS,0.8421882403843541,0.7237364934705018,0.9800266238344713,0.02636146887854124
CM_CHF,0.8547565190567155,0.7799678301235765,0.936716462721542,0.0007813039261618941
CM_CHRNLUNG,1.0156385170976827,0.9604341698085415,1.0740159292937375,0.5863057436514583
CM_COAG,1.1880452294839705,1.0791224255896212,1.3079623162575067,0.0004447123738479467
CM_DEPRESS,1.0451184455895135,0.9735550536961494,1.1219422683540852,0.222691164231129
CM_DMCX,0.9031249609172075,0.7964651919425971,1.0240682245539892,0.11204654461802867
CM_DRUG,0.7719602368397664,0.6496786704943862,0.9172574602275751,0.0032659366245589815
CM_HTN_C,1.0012082116107814,0.9526421160415273,1.052250227149481,0.9620384774928991
CM_HYPOTHY,0.9611215042124701,0.8955587354097965,1.031484043798582,0.27131393189742026
CM_LIVER,0.8038529117606026,0.7175406750962632,0.9005475594248501,0.00016489786863744914
CM_LYMPH,0.9181915452556116,0.7124559954647095,1.1833372434868483,0.5096397471287457
CM_LYTES,1.5782961939490991,1.5047416813735621,1.6554461849959217,2.2805152930419243e-78
CM_METS,1.9256872643326648,1.7208677615458297,2.1548846011746634,3.2873682600505876e-30
CM_NEURO,0.8004854187060374,0.7163284086006595,0.8945295172820684,8.615722194929475e-05
CM_OBESE,1.7367068911489816,1.642469115021742,1.836351623405981,9.012792498711095e-84
CM_PARA,0.9075833948574505,0.7180459475187898,1.1471516850241958,0.41717185446014804
CM_PERIVASC,0.9965167078088408,0.9125283685201748,1.0882352628144247,0.9380864416288104
CM_PSYCH,1.131095952267489,1.0021566518474305,1.2766248179637603,0.046059188347434346
CM_PULMCIRC,1.3162024266032464,1.1453223094144085,1.512577563150784,0.0001078077194026883
CM_RENLFAIL,0.7763632433712657,0.7155465024629712,0.842349006784702,1.1867018749017874e-09
CM_TUMOR,1.7731433658781557,1.5723944692240484,1.999522039472225,9.382317604639809e-21
CM_ULCER,0.983138926510171,0.43354771206502674,2.2294250942203084,0.9675294083045952
CM_VALVE,0.8575137893844215,0.7633342671736891,0.9633130996556099,0.009607662984850773
CM_WGHTLOSS,2.929002036095448,2.7376249196565996,3.133757610785999,2.584405750378959e-213
AGE,0.9941466494919727,0.992702887858675,0.9955925108951807,2.4311235245565885e-15
FEMALE,0.725022986414282,0.6938838682611116,0.7575595209417326,9.707469734975683e-47
