,Odds Ratios,CI Lower,CI Upper,P Value
CM_DM,1.2366820170522785,1.1345912690212467,1.3479589108946797,1.3488304613984106e-06
CM_AIDS,2.204725634304281,1.02518575333815,4.741399406625493,0.043008120409366704
CM_ALCOHOL,0.9631487319064307,0.7805082720820978,1.1885274159853998,0.7263396328284877
CM_ANEMDEF,1.6679752215679886,1.5405407064773122,1.8059512014626236,1.7081009947154344e-36
CM_ARTH,1.2460498876652173,1.0351067690100006,1.4999808416241744,0.02009414429452941
CM_BLDLOSS,0.46917741836991866,0.36780075078286245,0.5984964670129719,1.1089185113741506e-09
CM_CHF,1.2297001115415973,1.0271253383166705,1.4722276901509035,0.024361594308440607
CM_CHRNLUNG,1.0038426624986467,0.9178361122009757,1.0979085238168522,0.93311837764514
CM_COAG,0.8594858221064411,0.7413106113801852,0.996499803269551,0.0448109011625377
CM_DEPRESS,1.2685745301964177,1.1549514516148078,1.3933757444202763,6.731915309710582e-07
CM_DMCX,1.344849845811678,1.1279822759532765,1.603412701011812,0.0009592082475518445
CM_DRUG,1.5814728810467782,1.227893020416175,2.0368683850313793,0.00038517078756745136
CM_HTN_C,0.9099838725555559,0.8513880738023042,0.9726124593371831,0.005474563084682172
CM_HYPOTHY,1.0327641652113584,0.9354405506968005,1.1402133680758364,0.5232108099466529
CM_LIVER,0.9381149962959352,0.7673179953251371,1.1469296323519862,0.5332753812406155
CM_LYMPH,1.445048048793172,1.0285891045651694,2.0301244238861673,0.033797565598137506
CM_LYTES,1.945696781670077,1.7993559971831834,2.103939393943003,1.6962380455398256e-62
CM_METS,2.169214865882239,1.926516810787795,2.4424874509349963,1.8300557036329646e-37
CM_NEURO,1.1338400707087863,0.9680907419777185,1.3279677722344074,0.11928474707323805
CM_OBESE,1.2466224655454035,1.1459124835312973,1.3561834729415054,2.9127313449395714e-07
CM_PARA,1.551459840406722,1.2709570602154892,1.8938701485215739,1.5857252711830978e-05
CM_PERIVASC,0.8784547137617311,0.7404786423593674,1.042140367035318,0.1371486125367462
CM_PSYCH,1.732904970793957,1.4530708440039202,2.066629889515768,9.447322573929468e-10
CM_PULMCIRC,1.1370471869154455,0.9079510936131022,1.423949279170372,0.2632292659416683
CM_RENLFAIL,0.9905018411877515,0.8583747597682271,1.1429668524517593,0.8960536291249144
CM_TUMOR,5.185733964330579,4.5927654526234365,5.855260196980196,1.662417533699282e-155
CM_ULCER,1.2248685513467055,0.34698334580928547,4.323847199579422,0.7526213212490942
CM_VALVE,1.0385437488017781,0.8600741486681462,1.2540466654479239,0.6942322643915952
CM_WGHTLOSS,2.6948205196864343,2.386655754089048,3.0427754907179256,1.2847857553146543e-57
AGE,1.0187098380775637,1.0170000325037525,1.0204225182187363,9.695500083311914e-104
FEMALE,0.845838490641204,0.7986812925566453,0.8957800300542891,1.0636566019822007e-08
