,Odds Ratios,CI Lower,CI Upper,P Value
CM_LYTES,2.3778995732669785,2.1363531419238604,2.6467564138067967,1.4172245941708823e-56
CM_AIDS,3.002780972376945,1.2070919343302635,7.469765401979763,0.018042172888797687
CM_ALCOHOL,1.1127860226612938,0.8495326272978829,1.4576164498460662,0.4377818993578221
CM_ANEMDEF,1.6219902315493104,1.4486675171617664,1.8160497699263383,4.9379495808349886e-17
CM_ARTH,1.2511961634576791,0.955462564846812,1.638464861993006,0.10335047524562974
CM_BLDLOSS,0.6272877392038146,0.45609723136617725,0.862732506787615,0.004130781146269644
CM_CHF,1.1535617438791415,0.9025551035660841,1.4743750178617805,0.2538514168423598
CM_CHRNLUNG,1.0963643688320486,0.9671109702452501,1.2428923528182882,0.15059057685537405
CM_COAG,0.9188389154565275,0.7540899136606569,1.119581282368471,0.40114467365345596
CM_DEPRESS,1.2040495335266528,1.0475874601321378,1.3838799473629508,0.008934568979567676
CM_DM,1.1512194589462947,1.0156122429077785,1.3049333068909674,0.027649183531503457
CM_DMCX,1.2807932414845302,1.0016369666077367,1.6377503847408215,0.04849512368102041
CM_DRUG,1.5600322577496624,1.1049292363662453,2.202585075242613,0.011505790718799334
CM_HTN_C,0.9440907065380044,0.8575895791714195,1.0393168058695232,0.24062332156118182
CM_HYPOTHY,1.04504001155087,0.9036071457347977,1.2086099926247917,0.5526519848227434
CM_LIVER,0.7402463180525856,0.541871896113335,1.0112438296224173,0.05879613892876619
CM_LYMPH,1.0485312897396242,0.6126880656688469,1.7944169752398387,0.8627503593999825
CM_METS,2.186008682742615,1.8589505627815397,2.57060841568366,3.1332758937476832e-21
CM_NEURO,1.1732685970107546,0.9435963244906912,1.4588433263287526,0.1505373001801543
CM_OBESE,1.221029116581842,1.0794159931692124,1.3812210611807323,0.001498427133717895
CM_PARA,1.71200743764947,1.316571670609652,2.2262133782735036,6.00962021038925e-05
CM_PERIVASC,1.032559261400928,0.8287726806941079,1.2864548423723274,0.7751531356011597
CM_PSYCH,1.8781629247149216,1.4791585222194679,2.384799140041274,2.3070638541851379e-07
CM_PULMCIRC,1.4861405485550614,1.1278045821379943,1.9583301620149838,0.0048877516473193605
CM_RENLFAIL,0.9170466172367914,0.7504259612503511,1.120662852314198,0.39730435711116474
CM_TUMOR,2.2958358493267004,1.8251826144670205,2.8878547304116307,1.2452141563069727e-12
CM_ULCER,1.1292105098099718,0.19308611805219963,6.603873900041725,0.892726598335619
CM_VALVE,1.0831424607044993,0.834158542152157,1.4064443758546292,0.5489745646741774
CM_WGHTLOSS,3.5906385730646355,3.086687848429485,4.1768672426463445,1.2030679414516739e-61
AGE,1.0182519124811586,1.015801150256522,1.0207085875121353,5.447360475721267e-49
FEMALE,0.7038513817061646,0.6473126701699019,0.765328395935223,2.0367946021607298e-16
